seller_id,seller_zip_code_prefix,seller_city,seller_state,geolocation_zip_code_prefix,geolocation_city,geolocation_state,geolocation_lat,geolocation_lng
3442f8959a84dea7ee197c632cb2df15,13023,campinas,SP,13023.0,campinas,SP,-22.893862529175948,-47.06200600118296
d1b65fc7debc3361ea86b5f14c68d2e2,13844,mogi guacu,SP,13844.0,mogi guacu,SP,-22.381958269567807,-46.94800200982372
d1b65fc7debc3361ea86b5f14c68d2e2,13844,mogi guacu,SP,13844.0,mogi guaçu,SP,-22.3831188428264,-46.950086511493524
d1b65fc7debc3361ea86b5f14c68d2e2,13844,mogi guacu,SP,13844.0,mogi-guacu,SP,-22.382953631011244,-46.94672630654671
ce3ad9de960102d0677a81f5d0bb7b2d,20031,rio de janeiro,RJ,20031.0,rio de janeiro,RJ,-22.91017422770652,-43.17677490813088
c0f3eea2e14555b6faeea3dd58c1b1c3,4195,sao paulo,SP,4195.0,sao paulo,SP,-23.65702183743668,-46.61241476560969
c0f3eea2e14555b6faeea3dd58c1b1c3,4195,sao paulo,SP,4195.0,são paulo,SP,-23.656798308561463,-46.612856692821865
51a04a8a6bdcb23deccc82b0b80742cf,12914,braganca paulista,SP,12914.0,braganca paulista,SP,-22.964374467107184,-46.534665474086026
51a04a8a6bdcb23deccc82b0b80742cf,12914,braganca paulista,SP,12914.0,bragança paulista,SP,-22.962981467943905,-46.53498399360151
c240c4061717ac1806ae6ee72be3533b,20920,rio de janeiro,RJ,20920.0,rio de janeiro,RJ,-22.894907715650092,-43.23080588235342
e49c26c3edfa46d227d5121a6b6e4d37,55325,brejao,PE,55325.0,brejão,PE,-9.024839005157318,-36.57020044972058
1b938a7ec6ac5061a66a3766e0e75f90,16304,penapolis,SP,16304.0,penapolis,SP,-21.43548080366788,-50.0773916794732
1b938a7ec6ac5061a66a3766e0e75f90,16304,penapolis,SP,16304.0,penápolis,SP,-21.434366087069883,-50.07725688837024
768a86e36ad6aae3d03ee3c6433d61df,1529,sao paulo,SP,1529.0,sao paulo,SP,-23.5688472717122,-46.63464902928614
768a86e36ad6aae3d03ee3c6433d61df,1529,sao paulo,SP,1529.0,são paulo,SP,-23.57008914625778,-46.63594920941768
ccc4bbb5f32a6ab2b7066a4130f114e3,80310,curitiba,PR,80310.0,curitiba,PR,-25.45781550929083,-49.309207968492174
8cb7c5ddf41f4d506eba76e9a4702a25,75110,anapolis,GO,75110.0,anapolis,GO,-16.333136856383994,-48.94044919754167
8cb7c5ddf41f4d506eba76e9a4702a25,75110,anapolis,GO,75110.0,anápolis,GO,-16.330635161170058,-48.942896117650434
a7a9b880c49781da66651ccf4ba9ac38,13530,itirapina,SP,13530.0,itirapina,SP,-22.253001275607335,-47.81789510997462
8bd0f31cf0a614c658f6763bd02dea69,1222,sao paulo,SP,1222.0,sao paulo,SP,-23.5454668999509,-46.65018175916093
8bd0f31cf0a614c658f6763bd02dea69,1222,sao paulo,SP,1222.0,são paulo,SP,-23.545696929641068,-46.65009382638932
